1;"Legislators, senior officials and managers";;;
11;"Legislators and senior officials";;;
111;"Legislators";;;
1110;"Legislators";;;
112;"Senior government official";;;
1120;"Senior government official";;;
113;"Traditional chiefs and heads of villages";;;
1130;"Traditional chiefs and heads of villages";;;
114;"Senior officials of special-interest organisation";;;
1141;"Senior officials of political-party organisations";;;
1142;"Senior officials of employers, workers and other economic-interest organisations";;;
1143;"Senior officials of humanitarian and other special-interest organisations";;;
12;"Corporate managers";;;
121;"Directors and chief executives";;;
1210;"Directors and chief executives";;;
122;"Production and operations department managers";;;
1221;"Production and operations department managers in agriculture, hunting, forestry and fishing";;;
1222;"Production and operations department managers in manufacturing";;;
1223;"Production and operations department managers in construction";;;
1224;"Production and operations department managers in wholesale and retail trade";;;
1225;"Production and operations department managers in restaurants and hotels";;;
1226;"Production and operations department managers in transport, storgae and communications";;;
1227;"Production and operations department managers in business services";;;
1228;"Production and operations department managers in personal care, cleaning and related services";;;
1229;"Production and operations department managers not elsewhere classified";;;
123;"Other department managers";;;
1231;"Finance and administration department managers";;;
1232;"Personnel and industrial relations department managers";;;
1233;"Sales and marketing department managers";;;
1234;"Advertising and public relations departments managers";;;
1235;"Supply and distribution department managers";;;
1236;"Computing services department managers";;;
1237;"Research and development department managers";;;
1238;"Other department managers not elsewhere classified";;;
1239;"Other department managers";;;
13;"General managers";;;
131;"General managers";;;
1311;"General managers in agriculture, hunting, forestry and fishing";;;
1312;"General managers in manufacture";;;
1313;"General managers in construction";;;
1314;"General managers in wholesale and retail trade";;;
1315;"General managers of restaurants and hotels";;;
1316;"General managers in transport, storage and communication";;;
1317;"General managers of business services";;;
1318;"General managers in personal care, cleaning and related services";;;
1319;"General managers not elsewhere classified";;;
2;"Professionals";;;
21;"Physical, mathematical and engineering science professionals";;;
211;"Physicists, chemists and related professionals";;;
2111;"Physicists, and astronomers";;;
2112;"Meteorologists";;;
2113;"Chemists";;;
2114;"Geologists and geophysicists";;;
212;"Mathematicians, statisticians and related professionals";;;
2121;"Mathematicians, statisticians and related professionals";;;
2122;"Statisticians";;;
213;"Computing professionals";;;
2131;"Computing systems designers and analysts";;;
2132;"Computer programmers";;;
2139;"Computing professionals not elsewhere classified";;;
214;"Architects, engineers and related professionals";;;
2141;"Architects, town and traffic planners";;;
2142;"Civil engineers";;;
2143;"Electrical engineers";;;
2144;"Electronics and telecommunication engineers";;;
2145;"Mechanical engineers";;;
2146;"Chemical engineers";;;
2147;"Mining engineers, metallurgists and related professionals";;;
2148;"Cartographers and surveyors";;;
2149;"Architects, engineers and related professionals not elsewhere classified";;;
22;"Life science and health professionals";;;
221;"Life science professionals";;;
2211;"Biologists, botanists, zoologists and related professionals";;;
2212;"Pharmacologists, pathologists and related professionals";;;
2213;"Agronomists and related professionals";;;
222;"Health professionals (except nursing)";;;
2221;"Medical doctors";;;
2222;"Dentists";;;
2223;"Veterinarians";;;
2224;"Pharmacists";;;
2229;"Health professionals (except nursing) not elsewhere classified";;;
223;"Nursing and midwifery professionals";;;
2230;"Nursing and midwifery professionals";;;
23;"Teaching professionals";;;
231;"College, university and higher education teaching professionals";;;
2310;"College, university and higher education teaching professionals";;;
232;"Secondary education teaching professionals";;;
2320;"Secondary education teaching professionals";;;
233;"Primary and pre-primary education teaching professionals";;;
2331;"Primary education teaching professionals";;;
2332;"Pre-primary education teaching professionals";;;
234;"Special education teaching professionals";;;
2340;"Special education teaching professionals";;;
235;"Other teaching professionals";;;
