kept: 10744084, deleted: 11233453 
kept: 8806439, deleted: 9340528 
kept: 9819763, deleted: 10060280 
kept: 8843018, deleted: 9964652 
kept: 3714525, deleted: 3714528 
kept: 7626057, deleted: 7671135 
kept: 9448877, deleted: 9634991 
kept: 3277078, deleted: 4884226 
kept: 4704012, deleted: 4885130 
kept: 8850635, deleted: 9606159 
kept: 10231692, deleted: 10243159 
kept: 10231942, deleted: 10836177 10350052 10407996 11178456 11250173 11326924 
kept: 5414066, deleted: 5711807 
kept: 5660218, deleted: 7618506 
kept: 3029943, deleted: 5935610 
kept: 10193064, deleted: 10230966 10231796 10525828 10755463 10822808 10823846 10900330 10984785 10990436 11013871 11090444 11195552 11286940 
kept: 557224, deleted: 6754827 6737785 6539475 6539529 6581995 8723787 
kept: 6575442, deleted: 6753068 6755641 6738702 6739158 9145226 
kept: 10837712, deleted: 10837729 
kept: 4017593, deleted: 9899273 11028809 
kept: 8827129, deleted: 8930524 
kept: 8859145, deleted: 8872479 
kept: 9558011, deleted: 10914778 
kept: 10602248, deleted: 10636639 
kept: 2799627, deleted: 5184249 
kept: 1009455, deleted: 1432519 1430513 2702003 2791234 3869226 
kept: 5591161, deleted: 5595518 
kept: 10144873, deleted: 10226343 10330918 10339890 10355547 10900324 10918713 11223646 11302020 
kept: 10371987, deleted: 10935128 11275011 
kept: 5252206, deleted: 8739448 
kept: 10417990, deleted: 10602356 
kept: 10601523, deleted: 11089500 
kept: 10370508, deleted: 10392113 
kept: 8884754, deleted: 9997656 
kept: 10269501, deleted: 10492044 11276959 
kept: 5500749, deleted: 5895636 
kept: 10269495, deleted: 10543614 11154459 
kept: 10071487, deleted: 10584732 
kept: 10264681, deleted: 10274043 
kept: 8086848, deleted: 8914631 8807577 
kept: 1722020, deleted: 1722133 1722240 1727461 
kept: 1719233, deleted: 1719782 1720239 1720306 1720526 
kept: 1720968, deleted: 1721400 1722353 
kept: 1724916, deleted: 1725517 
kept: 1720801, deleted: 1727056 1728841 
kept: 1714742, deleted: 1717626 1728121 
kept: 1714344, deleted: 1728555 
kept: 5924361, deleted: 5924678 5948810 
kept: 1714637, deleted: 1716678 1718147 1723559 1724265 
kept: 1718541, deleted: 1719480 1719920 1727172 
kept: 2591942, deleted: 2591991 
kept: 5940654, deleted: 5940660 
kept: 1718064, deleted: 1718864 1721230 1722278 
kept: 1721642, deleted: 1722275 
kept: 5918895, deleted: 5919409 5923154 5939200 
kept: 5919314, deleted: 5935341 
kept: 5922864, deleted: 5947730 
kept: 6146020, deleted: 6206652 
kept: 1725477, deleted: 1725495 
kept: 1723202, deleted: 1724539 
kept: 9956180, deleted: 10229087 
kept: 10232567, deleted: 10399286 11017204 11200040 
kept: 10401820, deleted: 10404534 
kept: 5815944, deleted: 8727318 8732781 
kept: 10511870, deleted: 11269971 
kept: 9771135, deleted: 10590080 
kept: 8375487, deleted: 9145879 
kept: 5387031, deleted: 5388811 
kept: 8998169, deleted: 9493892 
kept: 9117780, deleted: 9120151 
kept: 6539549, deleted: 6539643 6836719 
kept: 8837887, deleted: 10202972 
kept: 1437403, deleted: 2791218 
kept: 9904160, deleted: 10803917 
kept: 9804168, deleted: 10108937 
kept: 7643117, deleted: 9122896 
kept: 10739684, deleted: 11245564 
kept: 9117812, deleted: 9820360 
kept: 6604036, deleted: 7635710 
kept: 159695, deleted: 492496 1432487 
kept: 9496803, deleted: 9645515 
kept: 838126, deleted: 1207314 
kept: 5490752, deleted: 5492096 
kept: 485416, deleted: 2809300 
kept: 1342616, deleted: 2673565 2253119 
kept: 218759, deleted: 1006213 
kept: 7661007, deleted: 10204913 
kept: 5652781, deleted: 6199099 
kept: 10418546, deleted: 10857816 
kept: 1431107, deleted: 1590212 
kept: 1432136, deleted: 1589962 4170614 
kept: 2697784, deleted: 4313448 2790976 
kept: 10108311, deleted: 10229081 
kept: 8371204, deleted: 9920216 
kept: 990815, deleted: 5321328 
kept: 8371214, deleted: 9950191 
kept: 1440952, deleted: 1979055 
kept: 10242202, deleted: 10602286 
kept: 9904511, deleted: 10229116 
kept: 11288790, deleted: 11309032 
kept: 10498848, deleted: 10567200 11289826 10852524 10716388 10934491 10755139 10755875 10755907 10843225 10879126 10918835 11294864 11064817 11250136 11313883 
kept: 9832663, deleted: 10025732 
kept: 11222251, deleted: 11327708 
kept: 2774972, deleted: 5493106 
kept: 10155143, deleted: 10424917 
kept: 8812239, deleted: 9586356 
kept: 10333704, deleted: 10822974 
kept: 10274102, deleted: 10739664 
kept: 990828, deleted: 1545000 
kept: 7625085, deleted: 9147988 
kept: 101238, deleted: 101419 
kept: 883790, deleted: 885473 883854 1837062 
kept: 1338333, deleted: 1342492 
kept: 882100, deleted: 884729 
kept: 2708677, deleted: 5637944 
kept: 10242476, deleted: 10371888 
kept: 7484307, deleted: 10152134 
kept: 203537, deleted: 203785 
kept: 203637, deleted: 203986 
kept: 10754711, deleted: 11247720 11247742 
kept: 865979, deleted: 991239 991238 
kept: 991229, deleted: 1822865 5895681 
kept: 681214, deleted: 5114644 
kept: 8808483, deleted: 8923545 
kept: 9005427, deleted: 9568312 
kept: 991235, deleted: 2477076 6038828 
kept: 991237, deleted: 991241 991240 1443394 
kept: 5301325, deleted: 5328396 6044648 
kept: 214873, deleted: 1344076 
kept: 1337966, deleted: 1344127 
kept: 4953731, deleted: 10777215 10780682 
kept: 10232478, deleted: 10244128 
kept: 10874855, deleted: 11017766 
kept: 6543788, deleted: 10081339 10213433 
kept: 10372472, deleted: 11312841 
kept: 10369785, deleted: 10400523 
kept: 10369512, deleted: 11177359 
kept: 4947341, deleted: 5115368 5589398 6144370 
kept: 9916042, deleted: 10285593 
kept: 10350029, deleted: 10408028 
kept: 8862922, deleted: 8965254 
kept: 5585004, deleted: 5884497 
kept: 10400439, deleted: 10418842 
kept: 5115858, deleted: 8724963 
kept: 7781361, deleted: 9898113 
kept: 7462400, deleted: 10995372 
kept: 10418761, deleted: 10551909 10744080 
kept: 5213187, deleted: 5311543 5311845 5672566 
kept: 10823557, deleted: 11069795 10980187 11293293 11187924 
kept: 10848717, deleted: 10882282 11039606 11187834 
kept: 10966188, deleted: 11107657 11259006 11091229 11154524 11187938 11312830 
kept: 11241005, deleted: 11305874 11247218 
kept: 10302874, deleted: 10333800 10451743 10909001 10964174 11187787 
kept: 4793173, deleted: 10333854 10418892 10743811 
kept: 4479889, deleted: 10995348 
kept: 10744307, deleted: 11187903 
kept: 7967052, deleted: 9744266 
kept: 5451882, deleted: 5452321 
kept: 10806436, deleted: 11059160 
kept: 990912, deleted: 1841660 
kept: 10822733, deleted: 10929946 
kept: 7865022, deleted: 9042676 
kept: 10357170, deleted: 10594301 
kept: 7869517, deleted: 9796611 
kept: 8928774, deleted: 8962564 
kept: 10874349, deleted: 10989646 
kept: 8278791, deleted: 10108606 
kept: 7655760, deleted: 9144985 
kept: 10340021, deleted: 11222918 11250341 
kept: 5380687, deleted: 8728056 
kept: 5382439, deleted: 7651872 
kept: 5517922, deleted: 9146801 
kept: 888666, deleted: 888825 889306 
kept: 8504654, deleted: 10013770 
kept: 5658252, deleted: 10768793 
kept: 6531928, deleted: 8504744 9128181 10072065 10193185 10257340 
kept: 6739351, deleted: 8505811 
kept: 5078647, deleted: 5099030 6021986 
kept: 1004977, deleted: 2602552 
kept: 1004974, deleted: 1004993 
kept: 1004998, deleted: 1005000 
kept: 1003142, deleted: 1003143 
kept: 1003147, deleted: 1003148 
kept: 9819741, deleted: 9820033 10024735 10026845 
kept: 9148157, deleted: 9149740 
kept: 3425701, deleted: 3447449 3425951 
kept: 671409, deleted: 4148435 
kept: 5318569, deleted: 8278777 8375852 
kept: 926531, deleted: 2009945 
kept: 10910602, deleted: 10912044 
kept: 6539631, deleted: 7740126 
kept: 940022, deleted: 945873 942512 941507 
kept: 574775, deleted: 616100 6524680 
kept: 5099899, deleted: 5151771 
kept: 9148400, deleted: 9150027 
kept: 5379606, deleted: 5388990 9798494 
kept: 228610, deleted: 946735 
kept: 6524671, deleted: 6531411 
kept: 9145515, deleted: 11017330 
kept: 8375113, deleted: 10937902 
kept: 10909444, deleted: 11153423 
kept: 10914712, deleted: 10914883 
kept: 228208, deleted: 228619 
kept: 9819864, deleted: 11153151 
kept: 9820427, deleted: 10031428 
kept: 10910481, deleted: 10910552 
kept: 10911080, deleted: 10911455 
kept: 9819660, deleted: 9819684 10030682 10025701 10022917 9832641 
kept: 11064037, deleted: 11274530 
kept: 10020676, deleted: 10022659 
kept: 9819676, deleted: 10020843 11028954 
kept: 7644312, deleted: 9055044 
kept: 8838326, deleted: 10243400 10551911 11312880 
kept: 10951284, deleted: 11059280 
kept: 10879005, deleted: 10930647 
kept: 6595946, deleted: 7628554 
kept: 6861378, deleted: 7673495 
kept: 867428, deleted: 5073256 
kept: 867282, deleted: 1854491 
kept: 1724726, deleted: 1724761 
kept: 10500647, deleted: 11322398 
kept: 7993502, deleted: 8000945 
kept: 8371222, deleted: 10084430 
kept: 9146190, deleted: 10585249 
kept: 5989718, deleted: 10022923 9805034 
kept: 5379900, deleted: 9144981 
kept: 6595579, deleted: 7646720 7641066 
kept: 6625287, deleted: 9133118 7869181 
kept: 5649069, deleted: 9604564 
kept: 5517266, deleted: 5953502 
kept: 9721579, deleted: 9914708 
kept: 10173326, deleted: 10369651 10418731 10831743 10923266 11312874 
kept: 10909408, deleted: 10913687 
kept: 9453077, deleted: 9994465 
kept: 10614250, deleted: 10757137 
kept: 6049187, deleted: 10373171 
kept: 8859770, deleted: 9454400 
kept: 9744412, deleted: 9762796 
kept: 6422407, deleted: 7635278 
kept: 5664432, deleted: 7869776 
kept: 10274647, deleted: 10313993 11155977 
kept: 9638663, deleted: 9639246 
kept: 6139191, deleted: 7612669 
kept: 123710, deleted: 699915 
kept: 10601318, deleted: 11187147 
kept: 6861322, deleted: 7665592 7642858 9146149 
kept: 10231872, deleted: 11091492 
kept: 10352976, deleted: 11280393 
kept: 6145294, deleted: 10985380 
kept: 5379565, deleted: 5564979 
kept: 878286, deleted: 1497392 
kept: 100714, deleted: 100790 
kept: 9987641, deleted: 10370451 
kept: 8789324, deleted: 9960252 
kept: 7091440, deleted: 7645086 
kept: 8501188, deleted: 8729686 
kept: 10237851, deleted: 11065452 
kept: 9490015, deleted: 10982886 
kept: 10334669, deleted: 10701212 10864082 
kept: 10771212, deleted: 10788336 10979915 11295043 
kept: 9832451, deleted: 9847500 
kept: 10398202, deleted: 11275103 
kept: 10823902, deleted: 10979036 
kept: 10452488, deleted: 10823974 10989790 
kept: 991051, deleted: 4507763 
kept: 746314, deleted: 746496 
kept: 10832958, deleted: 10900425 
kept: 8931253, deleted: 9604036 
kept: 8759565, deleted: 10202978 
kept: 9119609, deleted: 9797988 
kept: 5386528, deleted: 8375863 
kept: 9446077, deleted: 9766122 
kept: 1235710, deleted: 1235862 
kept: 10983289, deleted: 11041021 
kept: 6538855, deleted: 8734943 
kept: 7928500, deleted: 8957478 
kept: 10756967, deleted: 11017868 
kept: 890684, deleted: 890741 
kept: 5500449, deleted: 6206784 
kept: 5475353, deleted: 6203628 
kept: 5653698, deleted: 6262417 
kept: 7881915, deleted: 8504750 
kept: 5443924, deleted: 6740731 
kept: 7870024, deleted: 9224054 
kept: 8815040, deleted: 9604675 
kept: 10420559, deleted: 11312771 
kept: 10229096, deleted: 11160007 
kept: 8993474, deleted: 9771550 
kept: 8777074, deleted: 8877163 
kept: 8908010, deleted: 10352853 
kept: 10175312, deleted: 11041250 
kept: 8955849, deleted: 9344113 
kept: 10095219, deleted: 10098080 
kept: 8815953, deleted: 9750726 9903529 
kept: 10369458, deleted: 10429950 
kept: 10756821, deleted: 11090361 11312743 11313971 
kept: 10372389, deleted: 10823905 10979042 11312786 
kept: 9866954, deleted: 9903555 10242139 10242451 
kept: 10155054, deleted: 10756848 
