"EUMIDA ID","National ID","Country Code","Institution Name","English Institution Name","Institution Name Comments","Institution Name; Reference Year","Institution Name; Data Flag","Institution Name; Data Source","Institution Name; Date Data Collection","Institution Category; National Language","Institution Category; English","Institution Category; Comments","Institution Category; Reference Year","Institution Category; Data Flag","Institution Category; Data Source","Institution Category; Date Data Collection","NUTS Region","Region; Comments","Region; Reference Year","Region; Data Flag","Region; Data Source","Region; Date Data Collection","Legal Status","Legal Status; Comments","Legal Status; Reference Year","Legal Status; Data Flag","Legal Status; Data Source","Legal Status; Date Data Collection","Current Status Year","Current Status Year; Comments","Current Status Year; Reference Year","Current Status Year; Data Flag","Current Status Year; Data Source","Current Status Year; Date Data Collection","Foundation Year","Foundation Year; Comments","Foundation Year; Reference Year","Foundation Year; Data Flag","Foundation Year; Data Source","Foundation Year; Date Data Collection","Distance Education","Distance Education; Comments","Distance Education; Reference Year","Distance Education; Data Flag","Distance Education; Data Source","Distance Education; Date Data Collection","Research Active","Research Active; Comments","Research Active; Reference Year","Research Active; Data Flag","Research Active; Data Source","Research Active; Date Data Collection","University Hospital","University Hospital; Comments","University Hospital; Reference Year","University Hospital; Data Flag","University Hospital; Data Source","University Hospital; Date Data Collection","Education Field; General","Education Field; Education","Education Field; Humanities and Arts","Education Field; Social Sciences, Business and L aw","Education Field; Sciences","Education Field; Engineering, Manufacturing and Construction","Education Field; Agriculture","Education Field; Health and Welfare","Education Field; Services","Education Field; Comments","Education Fields; Reference Year","Education Fields; Data Flag","Education Fields; Data Source","Education Fields; Date Data Collection","Highest Degree Awarded","Highest Degree Awarded; Comments","Highest Degree; Reference Year","Highest Degree; Data Flag","Highest Degree; Data Source","Highest Degree, Date DataCollection","Doctorate Degrees Awarded","Doctorate Degrees; Comments","Doctorate Degrees Awarded; Reference Year","Doctorate Degrees Awarded; Data Flag","Doctorate Degrees Awarded; Data Source","Doctorate Degrees Awarded; Date Data Collection","Students ISCED5","Students ISCED5; Comments","Students ISCED5; Reference Year","Students ISCED5; Data Flag","Institution Students ISCED5; Data Source","Students ISCED5; Date Data Collection","International Students ISCED5","International Students ISCED5; Comments","International Students ISCED5; Reference Year","International Students ISCED5; Data Flag","International Students ISCED5; Data Source","International Students ISCED5, Date Data Collection","Students ISCED6","Students ISCED6; Comments","Students ISCED6; Reference Year","Institution Students ISCED6; Data Flag","Students ISCED6; Data Source","Students ISCED6; Date Data Collection","International Students ISCED6","International Students ISCED6; Comments","International Students ISCED6; Reference Year","International Students ISCED6; Data Flag","International Students ISCED6; Data Source","International Students ISCED6; Date Data Collection","Total Staff","Total Staff Comments","Total Staff; Reference Year","Total Staff; Data Flag","Total Staff; Data Source","Total Staff; Date Data Collection",
"AT017","AT_R","AT","Akademie der bildenden Künste Wien","Academy of Fine Arts Vienna",,2008,," Wadsack, I.,  H. Kasparovsky (2004), Higher Education in Austria. 2nd edition. Federal Ministry of Education, Science and Culture, Vienna.",24/11/2009,"Öffentliche Universität","Public university",,2008,,"Ministry of Science and Research",29/11/2009,"AT13",,2008,,"HEI website",25/11/2009,"Public",,2008,,"Ministry of Science and Research","28.11.2009",1872,,2008,,"HEI website [http://www.akbild.ac.at/Portal/akademie/uber-uns/Geschichte]",26/11/2009,1696,,2008,,"Wadsack, I. u. H. Kasparovsky (2007), Das österreichische Hochschulsystem, Bundesministerium für Wissenschaft und Forschung,
Wien.",26/11/2009,"No",,2008,,"HEI website",28/11/2009,"Yes",,2008,,"Statistics Austria",20/10/2009,"No",,2008,,,,"No","Yes","Yes","No","No","Yes","No","No","No",,2008,,"Statistics Austria",09/02/2009,"Doctorate",,2008,,"Statistics Austria",09/02/2009,4,"academic year 2007/08; prorated according to the number of programmes enrolled",2008,,"Statistics Austria",09/02/2010,894,"academic year 2007/08; prorated according to the number of programmes enrolled",2008,,"Statistics Austria",09/02/2010,166,"academic year 2007/08; prorated according to the number of programmes enrolled",2008,,"Statistics Austria",09/02/2010,51,"academic year 2007/08; prorated according to the number of programmes enrolled",2008,,"Statistics Austria",09/02/2010,11,"academic year 2007/08; prorated according to the number of programmes enrolled",2008,,"Statistics Austria",09/02/2010,257,,2008,,"uni:data by Ministry of Science and Research",30/11/2009,
"AT028","AT_UP007","AT","Anton Bruckner Privatuniversität","Anton Bruckner Private University",,2008,," Wadsack, I.,  H. Kasparovsky (2004), Higher Education in Austria. 2nd edition. Federal Ministry of Education, Science and Culture, Vienna.",24/11/2009,"Privatuniversität","Private university",,2008,,"Ministry of Science and Research",29/11/2009,"AT31",,2008,,"HEI website",25/11/2009,"Private",,2008,,"Ministry of Science and Research","28.11.2009",2004,,2008,,"website accredition council [http://www.akkreditierungsrat.at/cont/de/privatuni_07.aspx]",26/11/2009,2004,,2008,,"website accredition council [http://www.akkreditierungsrat.at/cont/de/privatuni_07.aspx]",26/11/2009,"No",,2008,,"HEI website",28/11/2009,"Yes",,2008,,"Statistics Austria",20/10/2009,"No",,2008,,,,"No","Yes","Yes","No","No","No","No","No","No",,2008,,"Statistics Austria",09/02/2009,"Master or pre-Bologna equivalent",,2008,,"Statistics Austria",09/02/2009,,,2008,"Not applicable","Statistics Austria",09/02/2010,806,"academic year 2007/08; prorated according to the number of programmes enrolled",2008,,"Statistics Austria",09/02/2010,1,"academic year 2007/08; prorated according to the number of programmes enrolled",2008,,"Statistics Austria",09/02/2010,,"academic year 2007/08; prorated according to the number of programmes enrolled",2008,"Not applicable","Statistics Austria",09/02/2010,,"academic year 2007/08; prorated according to the number of programmes enrolled",2008,"Not applicable","Statistics Austria",09/02/2010,113,,2008,,"uni:data by Ministry of Science and Research",30/11/2009,
"AT055","AT_17","AT","Bundesministerium für Landesverteidigung und Sport, Sektion II, Gruppe Ausbildungswesen, Ausbildung A","Federal Ministry of Defence",,2008,," Wadsack, I.,  H. Kasparovsky (2004), Higher Education in Austria. 2nd edition. Federal Ministry of Education, Science and Culture, Vienna.",24/11/2009,"Fachhochschule","University of applied sciences",,2008,,"Ministry of Science and Research",29/11/2009,"AT13",,2008,,"HEI website",25/11/2009,"Government dependent",,2008,,"Ministry of Science and Research","28.11.2009",1997,,2008,,"Wikipedia [http://de.wikipedia.org/wiki/Theresianische_Milit%C3%A4rakademie]",26/11/2009,1751,,2008,,"Wikipedia [http://de.wikipedia.org/wiki/Theresianische_Milit%C3%A4rakademie]",26/11/2009,"No",,2008,,"HEI website",28/11/2009,"Yes",,2008,,"Statistics Austria",20/10/2009,"No",,2008,,,,"No","No","No","No","No","No","No","No","Yes",,2008,,"Statistics Austria",09/02/2009,"Master or pre-Bologna equivalent",,2008,,"Statistics Austria",09/02/2009,,,2008,"Not applicable","Statistics Austria",09/02/2010,344,"academic year 2007/08; prorated according to the number of programmes enrolled",2008,,"Statistics Austria",09/02/2010,2,"academic year 2007/08; prorated according to the number of programmes enrolled",2008,,"Statistics Austria",09/02/2010,,"academic year 2007/08; prorated according to the number of programmes enrolled",2008,"Not applicable","Statistics Austria",09/02/2010,,"academic year 2007/08; prorated according to the number of programmes enrolled",2008,"Not applicable","Statistics Austria",09/02/2010,,,2008,"Not available",,,
"AT052","AT_14","AT","CAMPUS 02 Fachhochschule der Wirtschaft GmbH","University of Applied Sciences - Campus Graz",,2008,,"Österreichische Fachhochschulkonferenz [http://www.fhk.ac.at/index.php?id=18&L=1]",24/11/2009,"Fachhochschule","University of applied sciences",,2008,,"Ministry of Science and Research",29/11/2009,"AT22",,2008,,"HEI website",25/11/2009,"Government dependent",,2008,,"Ministry of Science and Research","28.11.2009",1995,,2008,,"HEI website [http://www.campus02.at/DE/%C3%9Cber%20CAMPUS%2002/%C3%9Cber%20die%20FH%20CAMPUS%2002/%C3%9Cber+die+FH+CAMPUS+02.aspx]",26/11/2009,1995,,2008,,"HEI website [http://www.campus02.at/DE/%C3%9Cber%20CAMPUS%2002/%C3%9Cber%20die%20FH%20CAMPUS%2002/%C3%9Cber+die+FH+CAMPUS+02.aspx]",26/11/2009,"No",,2008,,"HEI website",28/11/2009,"Yes",,2008,,"Statistics Austria",20/10/2009,"No",,2008,,,,"No","No","No","Yes","Yes","Yes","No","No","No",,2008,,"Statistics Austria",09/02/2009,"Master or pre-Bologna equivalent",,2008,,"Statistics Austria",09/02/2009,,,2008,"Not applicable","Statistics Austria",09/02/2010,939,"academic year 2007/08; prorated according to the number of programmes enrolled",2008,,"Statistics Austria",09/02/2010,11,"academic year 2007/08; prorated according to the number of programmes enrolled",2008,,"Statistics Austria",09/02/2010,,"academic year 2007/08; prorated according to the number of programmes enrolled",2008,"Not applicable","Statistics Austria",09/02/2010,,"academic year 2007/08; prorated according to the number of programmes enrolled",2008,"Not applicable","Statistics Austria",09/02/2010,,,2008,"Not available",,,
"AT058","AT_20","AT","Fachhochschule Campus Wien","FH Campus Wien - University of Applied Sciences",,2008,,"Österreichische Fachhochschulkonferenz [http://www.fhk.ac.at/index.php?id=18&L=1]",24/11/2009,"Fachhochschule","University of applied sciences",,2008,,"Ministry of Science and Research",29/11/2009,"AT13",,2008,,"HEI website",25/11/2009,"Government dependent",,2008,,"Ministry of Science and Research","28.11.2009",2001,,2008,,"HEI website [http://www.fh-campuswien.ac.at/die_fh/chronologie/]",26/11/2009,2001,,2008,,"HEI website [http://www.fh-campuswien.ac.at/die_fh/chronologie/]",26/11/2009,"No",,2008,,"HEI website",28/11/2009,"Yes",,2008,,"Statistics Austria",20/10/2009,"No",,2008,,,,"No","No","No","No","Yes","Yes","No","Yes","No",,2008,,"Statistics Austria",09/02/2009,"Master or pre-Bologna equivalent",,2008,,"Statistics Austria",09/02/2009,,,2008,"Not applicable","Statistics Austria",09/02/2010,1929,"academic year 2007/08; prorated according to the number of programmes enrolled",2008,,"Statistics Austria",09/02/2010,58,"academic year 2007/08; prorated according to the number of programmes enrolled",2008,,"Statistics Austria",09/02/2010,,"academic year 2007/08; prorated according to the number of programmes enrolled",2008,"Not applicable","Statistics Austria",09/02/2010,,"academic year 2007/08; prorated according to the number of programmes enrolled",2008,"Not applicable","Statistics Austria",09/02/2010,,,2008,"Not available",,,
"AT053","AT_15","AT","Fachhochschule des bfi Wien GmbH","University of Applied Science bfi Vienna Ltd.",,2008,," Wadsack, I.,  H. Kasparovsky (2004), Higher Education in Austria. 2nd edition. Federal Ministry of Education, Science and Culture, Vienna.",24/11/2009,"Fachhochschule","University of applied sciences",,2008,,"Ministry of Science and Research",29/11/2009,"AT13",,2008,,"HEI website",25/11/2009,"Government dependent",,2008,,"Ministry of Science and Research","28.11.2009",1996,,2008,,"HEI website [http://www.fh-vie.ac.at/Die-FH/Chronologie]",26/11/2009,1996,,2008,,"HEI website [http://www.fh-vie.ac.at/Die-FH/Chronologie]",26/11/2009,"No",,2008,,"HEI website",28/11/2009,"Yes",,2008,,"Statistics Austria",20/10/2009,"No",,2008,,,,"No","No","No","Yes","No","No","No","No","No",,2008,,"Statistics Austria",09/02/2009,"Master or pre-Bologna equivalent",,2008,,"Statistics Austria",09/02/2009,,,2008,"Not applicable","Statistics Austria",09/02/2010,1300,"academic year 2007/08; prorated according to the number of programmes enrolled",2008,,"Statistics Austria",09/02/2010,82,"academic year 2007/08; prorated according to the number of programmes enrolled",2008,,"Statistics Austria",09/02/2010,,"academic year 2007/08; prorated according to the number of programmes enrolled",2008,"Not applicable","Statistics Austria",09/02/2010,,"academic year 2007/08; prorated according to the number of programmes enrolled",2008,"Not applicable","Statistics Austria",09/02/2010,,,2008,"Not available",,,
"AT067","AT_8","AT","Fachhochschule Kärnten","Carinthia Tech Institute - University of Applied Sciences",,2008,,"Österreichische Fachhochschulkonferenz [http://www.fhk.ac.at/index.php?id=18&L=1; 24.11.2009]",24/11/2009,"Fachhochschule","University of applied sciences",,2008,,"Ministry of Science and Research",29/11/2009,"AT21",,2008,,"HEI website",25/11/2009,"Government dependent",,2008,,"Ministry of Science and Research","28.11.2009",1995,,2008,,"HEI website [http://www.fh-kaernten.at/cms/diefh/geschichte.htm; 27.11.2009]",26/11/2009,1995,,2008,,"HEI website [http://www.fh-kaernten.at/cms/diefh/geschichte.htm]",26/11/2009,"No",,2008,,"HEI website",28/11/2009,"Yes",,2008,,"Statistics Austria",20/10/2009,"No",,2008,,,,"No","No","No","Yes","Yes","Yes","No","Yes","No",,2008,,"Statistics Austria",09/02/2009,"Master or pre-Bologna equivalent",,2008,,"Statistics Austria",09/02/2009,,,2008,"Not applicable","Statistics Austria",09/02/2010,1317,"academic year 2007/08; prorated according to the number of programmes enrolled",2008,,"Statistics Austria",09/02/2010,122,"academic year 2007/08; prorated according to the number of programmes enrolled",2008,,"Statistics Austria",09/02/2010,,"academic year 2007/08; prorated according to the number of programmes enrolled",2008,"Not applicable","Statistics Austria",09/02/2010,,"academic year 2007/08; prorated according to the number of programmes enrolled",2008,"Not applicable","Statistics Austria",09/02/2010,,,2008,"Not available",,,
"AT050","AT_11","AT","Fachhochschule Salzburg GmbH","FH Salzburg Fachhochschule Ltd.",,2008,," Wadsack, I.,  H. Kasparovsky (2004), Higher Education in Austria. 2nd edition. Federal Ministry of Education, Science and Culture, Vienna.",24/11/2009,"Fachhochschule","University of applied sciences",,2008,,"Ministry of Science and Research",29/11/2009,"AT32",,2008,,"HEI website",25/11/2009,"Government dependent",,2008,,"Ministry of Science and Research","28.11.2009",1995,,2008,,"HEI website [http://www.fh-salzburg.ac.at/ueber-uns/geschichte/]",26/11/2009,1995,,2008,,"HEI website [http://www.fh-salzburg.ac.at/ueber-uns/geschichte ]",26/11/2009,"No",,2008,,"HEI website",28/11/2009,"Yes",,2008,,"Statistics Austria",20/10/2009,"No",,2008,,,,"No","No","Yes","Yes","No","Yes","No","Yes","No",,2008,,"Statistics Austria",09/02/2009,"Master or pre-Bologna equivalent",,2008,,"Statistics Austria",09/02/2009,,,2008,"Not applicable","Statistics Austria",09/02/2010,2062,"academic year 2007/08; prorated according to the number of programmes enrolled",2008,,"Statistics Austria",09/02/2010,276,"academic year 2007/08; prorated according to the number of programmes enrolled",2008,,"Statistics Austria",09/02/2010,,"academic year 2007/08; prorated according to the number of programmes enrolled",2008,"Not applicable","Statistics Austria",09/02/2010,,"academic year 2007/08; prorated according to the number of programmes enrolled",2008,"Not applicable","Statistics Austria",09/02/2010,,,2008,"Not available",,,
"AT051","AT_13","AT","Fachhochschule St. Pölten GmbH","University of Applied Sciences St. Pölten",,2008,," Wadsack, I.,  H. Kasparovsky (2004), Higher Education in Austria. 2nd edition. Federal Ministry of Education, Science and Culture, Vienna.",24/11/2009,"Fachhochschule","University of applied sciences",,2008,,"Ministry of Science and Research",29/11/2009,"AT12",,2008,,"HEI website",25/11/2009,"Government dependent",,2008,,"Ministry of Science and Research","28.11.2009",1996,,2008,,"HEI website [http://www.fhstp.ac.at/wiruns/chronologie]",26/11/2009,1996,,2008,,"HEI website [http://www.fhstp.ac.at/wiruns/chronologie]",26/11/2009,"No",,2008,,"HEI website",28/11/2009,"Yes",,2008,,"Statistics Austria",20/10/2009,"No",,2008,,,,"No","No","No","Yes","Yes","Yes","No","Yes","No",,2008,,"Statistics Austria",09/02/2009,"Master or pre-Bologna equivalent",,2008,,"Statistics Austria",09/02/2009,,,2008,"Not applicable","Statistics Austria",09/02/2010,1479,"academic year 2007/08; prorated according to the number of programmes enrolled",2008,,"Statistics Austria",09/02/2010,66,"academic year 2007/08; prorated according to the number of programmes enrolled",2008,,"Statistics Austria",09/02/2010,,"academic year 2007/08; prorated according to the number of programmes enrolled",2008,"Not applicable","Statistics Austria",09/02/2010,,"academic year 2007/08; prorated according to the number of programmes enrolled",2008,"Not applicable","Statistics Austria",09/02/2010,,,2008,"Not available",,,
"AT064","AT_5","AT","Fachhochschule Technikum Wien","University of Applied Sciences Technikum Vienna",,2008,," Wadsack, I.,  H. Kasparovsky (2004), Higher Education in Austria. 2nd edition. Federal Ministry of Education, Science and Culture, Vienna.",24/11/2009,"Fachhochschule","University of applied sciences",,2008,,"Ministry of Science and Research",29/11/2009,"AT13",,2008,,"HEI website",25/11/2009,"Government dependent",,2008,,"Ministry of Science and Research","28.11.2009",1994,,2008,,"Wikipedia [http://de.wikipedia.org/wiki/Fachhochschule_Technikum_Wien]",26/11/2009,1994,,2008,,"Wikipedia [http://de.wikipedia.org/wiki/Fachhochschule_Technikum_Wien]",26/11/2009,"No",,2008,,"HEI website",28/11/2009,"Yes",,2008,,"Statistics Austria",20/10/2009,"No",,2008,,,,"No","No","No","No","Yes","Yes","No","No","No",,2008,,"Statistics Austria",09/02/2009,"Master or pre-Bologna equivalent",,2008,,"Statistics Austria",09/02/2009,,,2008,"Not applicable","Statistics Austria",09/02/2010,2522,"academic year 2007/08; prorated according to the number of programmes enrolled",2008,,"Statistics Austria",09/02/2010,90,"academic year 2007/08; prorated according to the number of programmes enrolled",2008,,"Statistics Austria",09/02/2010,,"academic year 2007/08; prorated according to the number of programmes enrolled",2008,"Not applicable","Statistics Austria",09/02/2010,,"academic year 2007/08; prorated according to the number of programmes enrolled",2008,"Not applicable","Statistics Austria",09/02/2010,,,2008,"Not available",,,
