livstock,unit,geo\time	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 	1979 	1978 	1977 	1976 	1975 	1974 	1973 	1972 	1971 	1970 	1969 	1968 	1967 	1966 	1965 	1964 	1963 	1962 	1961 	1960 
PE0000,1000HD,AL	232.000 	226.000 	230.000 	201.000 	198.000 	168.000 	181.000 	181.000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PE0000,1000HD,BE	: 	: 	: 	: 	: 	21.000 	21.329 	21.189 	21.19 	22.14 	23.14 	24.44 	26.07 	27.54 	28.78 	30.69 	31.49 	33.03 	36.60 	40.00 	44.00 	49.00 	52.00 	53.00 	56.00 	58.00 	60.00 	67.00 	76.00 	81.00 	87.00 	98.00 	109.00 	120.00 	132.00 	: 	: 	: 
PE0000,1000HD,BG	126.000 	170.000 	151.000 	133.000 	113.000 	114.000 	114.000 	115.000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PE0000,1000HD,CZ	20.000 	19.000 	19.000 	18.000 	18.000 	19.000 	21.000 	25.000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PE0000,1000HD,DE	: 	652.444 	0.000 	598.848 	0.000 	530.957 	0.000 	490.954 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PE0000,1000HD,DEW	: 	: 	: 	: 	: 	: 	: 	405.965 	374.95 	374.95 	371.20 	367.41 	368.90 	370.21 	353.60 	369.10 	363.58 	381.96 	380.00 	378.00 	371.00 	355.00 	341.00 	325.00 	320.00 	283.00 	265.00 	253.00 	254.00 	264.00 	283.00 	312.00 	360.00 	417.00 	493.00 	: 	: 	: 
PE0000,1000HD,DK	: 	: 	: 	: 	: 	: 	: 	34.000 	34.00 	34.00 	34.00 	34.00 	34.00 	35.00 	33.00 	41.00 	44.00 	50.00 	56.00 	59.00 	61.00 	60.00 	58.00 	55.00 	50.00 	48.00 	47.00 	45.00 	42.00 	40.00 	42.00 	45.00 	53.00 	64.00 	81.00 	: 	: 	: 
PE0000,1000HD,ES	: 	: 	: 	: 	: 	: 	: 	505.000 	505.00 	505.00 	505.00 	505.00 	540.00 	559.00 	582.00 	598.00 	602.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PE0000,1000HD,EU10	: 	: 	: 	: 	: 	: 	: 	1724.490 	1687.66 	1689.01 	1683.51 	1682.94 	1712.65 	1786.75 	1805.05 	1860.15 	1949.21 	2019.28 	2144.76 	2178.91 	2239.21 	2310.84 	2322.32 	2370.49 	2456.77 	2549.58 	2650.83 	2809.59 	3171.00 	3341.00 	: 	: 	: 	: 	: 	: 	: 	: 
PE0000,1000HD,EU12	: 	: 	: 	: 	: 	: 	: 	2459.479 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PE0000,1000HD,EU9	: 	: 	: 	: 	: 	: 	: 	1416.061 	1379.23 	1380.59 	1375.09 	1374.51 	1383.94 	1436.57 	1432.03 	1465.72 	1528.89 	1573.27 	1673.02 	1676.31 	1703.85 	1745.84 	1733.32 	1761.49 	1810.77 	1868.58 	1920.83 	2041.59 	2358.00 	2487.00 	: 	: 	: 	: 	: 	: 	: 	: 
PE0000,1000HD,FR	: 	: 	: 	: 	: 	: 	340.300 	334.800 	332.00 	330.80 	284.30 	287.10 	290.80 	332.21 	331.57 	330.03 	330.74 	332.18 	364.42 	373.51 	379.55 	397.64 	398.12 	413.39 	424.67 	446.58 	466.83 	513.59 	763.00 	821.00 	953.00 	1124.00 	1198.00 	1322.00 	1458.00 	1636.00 	1744.00 	1872.00 
PE0000,1000HD,GR	: 	: 	: 	: 	: 	: 	: 	308.429 	308.43 	308.43 	308.43 	308.43 	328.72 	350.18 	373.02 	394.43 	420.31 	446.01 	471.74 	502.60 	535.36 	565.00 	589.00 	609.00 	646.00 	681.00 	730.00 	768.00 	813.00 	854.00 	875.00 	914.00 	948.00 	981.00 	1006.00 	: 	: 	: 
PE0000,1000HD,HR	8.000 	8.000 	9.000 	7.000 	12.000 	13.000 	19.000 	18.000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PE0000,1000HD,HU	: 	70.000 	71.000 	78.000 	71.000 	75.000 	78.000 	79.000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PE0000,1000HD,IE	: 	: 	: 	: 	: 	: 	: 	54.500 	54.50 	54.50 	54.50 	55.80 	57.70 	57.60 	60.40 	61.50 	64.70 	68.50 	105.00 	75.50 	80.30 	83.20 	89.20 	98.10 	112.10 	156.00 	162.00 	171.00 	130.00 	134.00 	: 	: 	: 	: 	: 	: 	: 	: 
PE0000,1000HD,IT	: 	: 	: 	: 	: 	: 	: 	348.240 	348.24 	348.24 	396.00 	396.00 	397.70 	401.10 	413.90 	421.70 	480.00 	483.00 	500.00 	510.30 	524.00 	551.00 	540.00 	561.00 	592.00 	620.00 	655.00 	708.00 	777.00 	820.00 	868.00 	921.00 	958.00 	1029.00 	1049.00 	: 	: 	: 
PE0000,1000HD,LT	81.800 	81.400 	77.600 	78.200 	81.300 	79.700 	82.600 	79.900 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PE0000,1000HD,LU	: 	: 	: 	: 	: 	: 	: 	2.775 	2.65 	2.65 	2.65 	1.70 	1.70 	1.60 	1.36 	1.39 	1.39 	1.60 	3.00 	3.00 	2.00 	3.00 	3.00 	2.00 	2.00 	2.00 	2.00 	2.00 	2.00 	2.00 	2.00 	2.00 	2.00 	3.00 	3.00 	: 	: 	: 
PE0000,1000HD,LV	23.300 	25.800 	27.200 	26.800 	26.200 	28.400 	30.000 	30.900 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PE0000,1000HD,MK	66.000 	66.000 	62.000 	62.000 	62.000 	65.000 	65.000 	66.000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PE0000,1000HD,NL	: 	: 	: 	: 	92.000 	86.421 	76.716 	69.592 	66.71 	68.30 	64.29 	63.06 	62.07 	64.32 	60.42 	59.31 	60.00 	67.00 	70.00 	75.00 	76.00 	78.00 	79.00 	77.00 	74.00 	70.00 	73.00 	86.00 	110.00 	115.00 	117.00 	100.00 	113.00 	135.00 	144.00 	: 	: 	: 
PE0000,1000HD,PL	557.900 	568.800 	635.800 	621.700 	841.300 	899.500 	938.900 	941.200 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PE0000,1000HD,PT	: 	: 	: 	: 	: 	: 	: 	145.000 	145.00 	145.00 	145.00 	145.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PE0000,1000HD,RO	822.000 	816.000 	806.000 	784.000 	751.000 	721.000 	749.000 	670.000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PE0000,1000HD,SI	: 	8.000 	8.000 	8.000 	9.000 	9.000 	11.000 	10.000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PE0000,1000HD,SK	10.000 	10.000 	10.000 	11.000 	11.000 	12.000 	13.000 	14.000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PE0000,1000HD,UK	: 	: 	: 	: 	: 	: 	: 	145.000 	145.00 	145.00 	145.00 	145.00 	145.00 	147.00 	149.00 	151.00 	153.00 	156.00 	158.00 	162.00 	166.00 	169.00 	173.00 	177.00 	180.00 	185.00 	190.00 	196.00 	204.00 	210.00 	: 	: 	: 	: 	: 	: 	: 	: 
PE1000,1000HD,BE	: 	: 	: 	: 	: 	15.000 	20.967 	18.478 	18.48 	22.14 	23.14 	24.44 	26.07 	27.54 	28.78 	30.25 	31.49 	33.03 	36.60 	40.00 	44.00 	49.00 	52.00 	53.00 	56.00 	58.00 	60.00 	67.00 	76.00 	81.00 	87.00 	98.00 	109.00 	120.00 	132.00 	: 	: 	: 
PE1000,1000HD,DE	: 	652.444 	0.000 	598.848 	0.000 	530.957 	0.000 	490.954 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PE1000,1000HD,DK	: 	: 	: 	: 	: 	: 	: 	34.000 	34.00 	34.00 	34.00 	34.00 	34.00 	35.00 	33.00 	41.00 	44.00 	50.00 	56.00 	59.00 	61.00 	60.00 	58.00 	55.00 	50.00 	48.00 	47.00 	45.00 	42.00 	40.00 	42.00 	45.00 	53.00 	64.00 	81.00 	: 	: 	: 
PE1000,1000HD,ES	: 	: 	: 	: 	: 	: 	: 	248.000 	248.00 	248.00 	248.00 	248.00 	252.00 	254.00 	253.00 	251.00 	244.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PE1000,1000HD,EU12	: 	: 	: 	: 	: 	: 	: 	1657.628 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PE1000,1000HD,FR	: 	: 	: 	: 	: 	: 	327.900 	322.100 	319.00 	318.10 	266.10 	268.20 	271.20 	308.30 	306.35 	303.93 	302.67 	303.55 	331.45 	338.38 	341.70 	355.59 	353.67 	363.94 	372.59 	391.82 	409.64 	453.40 	696.00 	750.00 	874.00 	1044.00 	1114.00 	1228.00 	1357.00 	1526.00 	1617.00 	1729.00 
PE1000,1000HD,GR	: 	: 	: 	: 	: 	: 	: 	65.429 	65.43 	65.43 	65.43 	65.43 	66.72 	73.18 	80.02 	86.43 	95.31 	105.01 	115.74 	125.60 	137.36 	149.00 	158.00 	166.00 	180.00 	194.00 	216.00 	232.00 	254.00 	267.00 	265.00 	280.00 	294.00 	: 	: 	: 	: 	: 
PE1000,1000HD,IE	: 	: 	: 	: 	: 	: 	: 	20.100 	20.10 	20.10 	20.10 	21.90 	24.00 	24.90 	26.90 	28.00 	30.90 	34.20 	73.00 	41.40 	47.50 	51.20 	57.00 	71.50 	87.70 	112.00 	117.00 	124.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PE1000,1000HD,IT	: 	: 	: 	: 	: 	: 	: 	220.200 	220.20 	220.20 	254.00 	254.00 	248.10 	246.30 	253.40 	255.80 	272.00 	273.00 	273.00 	267.55 	264.00 	264.00 	253.00 	250.00 	249.00 	257.00 	255.00 	271.00 	296.00 	310.00 	320.00 	321.00 	331.00 	341.00 	348.00 	: 	: 	: 
PE1000,1000HD,LU	: 	: 	: 	: 	: 	: 	: 	2.775 	2.65 	2.65 	2.65 	1.70 	1.70 	1.60 	1.36 	1.39 	1.39 	1.60 	3.00 	3.00 	2.00 	3.00 	3.00 	2.00 	2.00 	2.00 	2.00 	2.00 	2.00 	2.00 	2.00 	2.00 	2.00 	3.00 	3.00 	: 	: 	: 
PE1000,1000HD,NL	: 	: 	: 	: 	92.000 	86.421 	76.716 	69.592 	66.71 	68.30 	64.29 	63.06 	62.07 	64.32 	60.42 	59.31 	60.00 	67.00 	70.00 	75.00 	76.00 	78.00 	79.00 	77.00 	74.00 	70.00 	73.00 	86.00 	110.00 	115.00 	117.00 	100.00 	113.00 	135.00 	144.00 	: 	: 	: 
PE1000,1000HD,PT	: 	: 	: 	: 	: 	: 	: 	21.000 	21.00 	25.00 	25.00 	25.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PE1000,1000HD,UK	: 	: 	: 	: 	: 	: 	: 	145.000 	145.00 	145.00 	145.00 	145.00 	145.00 	147.00 	149.00 	151.00 	153.00 	156.00 	158.00 	162.00 	166.00 	169.00 	173.00 	177.00 	180.00 	185.00 	190.00 	196.00 	204.00 	210.00 	: 	: 	: 	: 	: 	: 	: 	: 
PE2000,1000HD,BE	: 	: 	: 	: 	: 	6.000 	0.362 	2.711 	2.71 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.44 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 
PE2000,1000HD,DE	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PE2000,1000HD,DEW	: 	: 	: 	: 	: 	: 	: 	0.000 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 
PE2000,1000HD,DK	: 	: 	: 	: 	: 	: 	: 	0.000 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 
PE2000,1000HD,ES	: 	: 	: 	: 	: 	: 	: 	257.000 	257.00 	257.00 	257.00 	257.00 	288.00 	305.00 	329.00 	347.00 	358.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PE2000,1000HD,EU10	: 	: 	: 	: 	: 	: 	: 	420.851 	421.15 	418.14 	437.60 	437.80 	464.90 	488.41 	512.21 	533.94 	594.87 	613.93 	647.97 	688.97 	728.65 	777.04 	794.65 	830.05 	885.47 	948.76 	1016.19 	1080.19 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PE2000,1000HD,EU12	: 	: 	: 	: 	: 	: 	: 	801.851 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PE2000,1000HD,EU9	: 	: 	: 	: 	: 	: 	: 	177.851 	178.15 	175.14 	194.60 	194.80 	202.90 	211.41 	219.21 	225.94 	269.87 	272.93 	291.97 	311.97 	330.65 	361.04 	363.65 	387.05 	419.47 	461.76 	502.19 	544.19 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PE2000,1000HD,FR	: 	: 	: 	: 	: 	: 	12.400 	12.700 	13.00 	12.70 	18.20 	18.90 	19.60 	23.91 	25.21 	26.10 	28.07 	28.63 	32.97 	35.12 	37.85 	42.04 	44.45 	49.45 	52.07 	54.76 	57.19 	60.19 	67.00 	71.00 	79.00 	80.00 	84.00 	94.00 	101.00 	110.00 	127.00 	143.00 
PE2000,1000HD,GR	: 	: 	: 	: 	: 	: 	: 	243.000 	243.00 	243.00 	243.00 	243.00 	262.00 	277.00 	293.00 	308.00 	325.00 	341.00 	356.00 	377.00 	398.00 	416.00 	431.00 	443.00 	466.00 	487.00 	514.00 	536.00 	559.00 	587.00 	610.00 	634.00 	654.00 	: 	: 	: 	: 	: 
PE2000,1000HD,IE	: 	: 	: 	: 	: 	: 	: 	34.400 	34.40 	34.40 	34.40 	33.90 	33.70 	32.70 	33.50 	33.50 	33.80 	34.30 	32.00 	34.10 	32.80 	32.00 	32.20 	26.60 	24.40 	44.00 	45.00 	47.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PE2000,1000HD,IT	: 	: 	: 	: 	: 	: 	: 	128.040 	128.04 	128.04 	142.00 	142.00 	149.60 	154.80 	160.50 	165.90 	208.00 	210.00 	227.00 	242.75 	260.00 	287.00 	287.00 	311.00 	343.00 	363.00 	400.00 	437.00 	481.00 	510.00 	548.00 	600.00 	627.00 	688.00 	701.00 	: 	: 	: 
PE2000,1000HD,LU	: 	: 	: 	: 	: 	: 	: 	0.000 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 
PE2000,1000HD,NL	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 
PE2000,1000HD,PT	: 	: 	: 	: 	: 	: 	: 	124.000 	124.00 	120.00 	120.00 	120.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PE2000,1000HD,UK	: 	: 	: 	: 	: 	: 	: 	0.000 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 
